protocol,latency,hops,oob_interaction,correct
jodi,762.898,6,2,1
jodi,641.113,3,2,1
jodi,877.603,3,2,1
jodi,425.859,6,2,1
jodi,479.417,6,2,1
jodi,438.978,2,2,1
jodi,635.027,3,2,1
jodi,558.339,2,2,1
jodi,878.326,4,2,1
jodi,493.789,2,2,1
jodi,775.55,2,2,1
jodi,718.032,4,2,1
jodi,422.672,6,2,1
jodi,772.945,6,2,1
jodi,441.889,2,2,1
jodi,512.216,2,2,1
jodi,712.308,7,2,1
jodi,584.452,4,2,1
jodi,853.752,2,2,1
jodi,536.279,3,2,1
jodi,747.089,5,2,1
jodi,500.843,5,2,1
jodi,571.236,2,2,1
jodi,429.929,4,2,1
jodi,654.084,4,2,1
jodi,599.088,4,2,1
jodi,447.68,2,2,1
jodi,871.52,3,2,1
jodi,382.888,4,2,1
jodi,539.011,4,2,1
jodi,796.705,4,2,1
jodi,527.361,7,2,1
jodi,392.0,4,2,1
jodi,460.577,4,2,1
jodi,808.826,4,2,1
jodi,959.106,3,2,1
jodi,571.205,5,2,1
jodi,620.347,4,2,1
jodi,558.706,2,2,1
jodi,468.028,3,2,1
jodi,926.54,5,2,1
jodi,454.413,4,2,1
jodi,508.84,4,2,1
jodi,436.101,3,2,1
jodi,643.67,4,2,1
jodi,404.998,3,2,1
jodi,675.543,4,2,1
jodi,819.023,3,2,1
jodi,599.326,5,2,1
jodi,438.736,3,2,1
jodi,492.981,5,2,1
jodi,1036.869,3,2,1
jodi,685.999,4,2,1
jodi,468.119,5,2,1
jodi,884.907,5,2,1
jodi,433.901,5,2,1
jodi,960.733,3,2,1
jodi,394.637,2,2,1
jodi,430.446,6,2,1
jodi,971.926,5,2,1
jodi,495.801,3,2,1
jodi,751.712,6,2,1
jodi,557.516,4,2,1
jodi,424.831,3,2,1
jodi,437.885,3,2,1
jodi,703.611,5,2,1
jodi,724.06,3,2,1
jodi,1006.624,3,2,1
jodi,784.877,5,2,1
jodi,901.666,3,2,1
jodi,449.59,6,2,1
jodi,578.26,3,2,1
jodi,758.003,5,2,1
jodi,707.386,3,2,1
jodi,799.977,3,2,1
jodi,947.956,3,2,1
jodi,432.747,4,2,1
jodi,793.848,4,2,1
jodi,869.796,3,2,1
jodi,859.819,3,2,1
jodi,580.761,3,2,1
jodi,438.881,4,2,1
jodi,777.439,3,2,1
jodi,841.133,3,2,1
jodi,474.738,4,2,1
jodi,411.067,3,2,1
jodi,427.564,2,2,1
jodi,855.641,3,2,1
jodi,864.102,3,2,1
jodi,465.133,3,2,1
jodi,923.995,5,2,1
jodi,940.361,3,2,1
jodi,415.638,2,2,1
jodi,463.045,2,2,1
jodi,869.273,3,2,1
jodi,518.894,4,2,1
jodi,407.151,4,2,1
jodi,439.988,3,2,1
jodi,894.8,4,2,1
jodi,1039.437,4,2,1
jodi,1004.921,4,2,1
jodi,436.336,5,2,1
jodi,464.038,4,2,1
jodi,397.975,4,2,1
jodi,514.179,5,2,1
jodi,925.188,3,2,1
jodi,418.846,5,2,1
jodi,450.294,2,2,1
jodi,369.302,3,2,1
jodi,602.251,3,2,1
jodi,494.508,4,2,1
jodi,884.173,4,2,1
jodi,579.334,3,2,1
jodi,552.55,4,2,1
jodi,588.219,3,2,1
jodi,539.219,4,2,1
jodi,905.694,4,2,1
jodi,462.036,3,2,1
jodi,349.711,2,2,1
jodi,856.519,4,2,1
jodi,725.65,3,2,1
jodi,441.15,4,2,1
jodi,436.902,5,2,1
jodi,394.762,5,2,1
jodi,773.721,6,2,1
jodi,486.261,5,2,1
jodi,494.713,5,2,1
jodi,364.81,4,2,1
jodi,562.343,4,2,1
jodi,443.831,4,2,1
jodi,329.933,2,2,1
jodi,394.092,2,2,1
jodi,583.952,5,2,1
jodi,403.88,4,2,1
jodi,560.873,4,2,1
jodi,526.025,4,2,1
jodi,735.508,5,2,1
jodi,448.125,4,2,1
jodi,453.65,5,2,1
jodi,708.359,6,2,1
jodi,662.316,3,2,1
jodi,701.251,6,2,1
jodi,622.264,4,2,1
jodi,636.488,4,2,1
jodi,395.906,5,2,1
jodi,595.289,4,2,1
jodi,417.672,4,2,1
jodi,346.121,4,2,1
jodi,1035.901,6,2,1
jodi,377.323,3,2,1
jodi,612.379,5,2,1
jodi,848.853,4,2,1
jodi,383.945,3,2,1
jodi,461.681,5,2,1
jodi,285.009,4,2,1
jodi,414.085,3,2,1
jodi,438.864,4,2,1
jodi,919.471,3,2,1
jodi,821.098,5,2,1
jodi,293.358,3,2,1
jodi,383.893,7,2,1
jodi,397.47,3,2,1
jodi,456.123,4,2,1
jodi,313.578,4,2,1
jodi,374.732,2,2,1
jodi,295.608,4,2,1
jodi,495.485,5,2,1
jodi,391.408,3,2,1
jodi,362.596,3,2,1
jodi,804.158,5,2,1
jodi,395.097,3,2,1
jodi,598.666,3,2,1
jodi,370.081,4,2,1
jodi,389.497,3,2,1
jodi,415.171,3,2,1
jodi,748.305,4,2,1
jodi,440.783,4,2,1
jodi,246.754,3,2,1
jodi,411.212,5,2,1
jodi,403.858,6,2,1
jodi,277.366,3,2,1
jodi,440.776,6,2,1
jodi,432.063,4,2,1
jodi,536.594,4,2,1
jodi,349.711,5,2,1
jodi,525.897,4,2,1
jodi,479.459,4,2,1
jodi,632.421,4,2,1
jodi,395.814,6,2,1
jodi,775.784,5,2,1
jodi,457.572,4,2,1
jodi,397.611,5,2,1
jodi,291.63,4,2,1
jodi,896.369,4,2,1
jodi,264.729,5,2,1
jodi,452.777,7,2,1
jodi,583.528,2,2,1
jodi,469.187,5,2,1
jodi,354.348,2,2,1
jodi,376.111,5,2,1
jodi,400.942,5,2,1
jodi,439.054,3,2,1
jodi,785.94,5,2,1
jodi,540.638,3,2,1
jodi,710.3,3,2,1
jodi,373.548,4,2,1
jodi,301.048,3,2,1
jodi,339.346,4,2,1
jodi,409.429,4,2,1
jodi,433.288,3,2,1
jodi,663.317,3,2,1
jodi,364.361,3,2,1
jodi,274.447,2,2,1
jodi,878.526,5,2,1
jodi,732.247,4,2,1
jodi,439.801,3,2,1
jodi,423.067,4,2,1
jodi,547.115,3,2,1
jodi,430.572,3,2,1
jodi,1107.61,5,2,1
jodi,385.608,4,2,1
jodi,359.73,3,2,1
jodi,401.592,5,2,1
jodi,535.914,5,2,1
jodi,278.671,3,2,1
jodi,375.795,4,2,1
jodi,430.772,6,2,1
jodi,831.712,4,2,1
jodi,792.044,5,2,1
jodi,541.847,2,2,1
jodi,530.576,3,2,1
jodi,414.284,4,2,1
jodi,442.542,5,2,1
jodi,361.265,5,2,1
jodi,660.002,3,2,1
jodi,435.249,3,2,1
jodi,683.332,5,2,1
jodi,653.369,4,2,1
jodi,570.924,3,2,1
jodi,426.241,5,2,1
jodi,448.961,4,2,1
jodi,417.073,5,2,1
jodi,392.263,4,2,1
jodi,426.254,5,2,1
jodi,827.313,3,2,1
jodi,402.189,4,2,1
jodi,356.687,4,2,1
jodi,553.867,4,2,1
jodi,427.727,3,2,1
jodi,379.439,6,2,1
jodi,303.652,5,2,1
jodi,967.942,4,2,1
jodi,481.71,3,2,1
jodi,364.945,4,2,1
jodi,431.917,2,2,1
jodi,606.849,6,2,1
jodi,491.483,5,2,1
jodi,475.956,4,2,1
jodi,669.282,6,2,1
jodi,408.361,6,2,1
jodi,533.841,4,2,1
jodi,621.923,5,2,1
jodi,599.493,7,2,1
jodi,531.032,5,2,1
jodi,440.875,6,2,1
jodi,482.812,3,2,1
jodi,644.254,4,2,1
jodi,521.202,5,2,1
jodi,395.86,6,2,1
jodi,616.411,6,2,1
jodi,456.98,4,2,1
jodi,1247.265,4,2,1
jodi,535.333,6,2,1
jodi,869.315,5,2,1
jodi,782.579,4,2,1
jodi,558.846,6,2,1
jodi,560.136,3,2,1
jodi,365.136,6,2,1
jodi,543.501,4,2,1
jodi,784.612,5,2,1
jodi,437.964,5,2,1
jodi,417.793,4,2,1
jodi,488.851,5,2,1
jodi,851.099,5,2,1
jodi,600.434,5,2,1
jodi,508.014,6,2,1
jodi,445.648,5,2,1
jodi,793.316,5,2,1
jodi,476.916,6,2,1
jodi,323.269,4,2,1
jodi,681.703,6,2,1
jodi,551.358,3,2,1
jodi,645.277,4,2,1
jodi,418.176,4,2,1
jodi,345.893,5,2,1
jodi,341.121,5,2,1
jodi,396.772,4,2,1
jodi,675.477,5,2,1
jodi,626.131,4,2,1
jodi,681.231,5,2,1
jodi,763.712,5,2,1
jodi,593.018,4,2,1
jodi,886.109,3,2,1
jodi,456.646,5,2,1
jodi,572.918,4,2,1
jodi,462.95,5,2,1
jodi,419.593,6,2,1
jodi,620.329,6,2,1
jodi,717.373,7,2,1
jodi,633.368,6,2,1
jodi,516.128,6,2,1
jodi,562.053,5,2,1
jodi,278.012,5,2,1
jodi,363.835,5,2,1
jodi,545.333,3,2,1
jodi,1145.317,3,2,1
jodi,529.727,6,2,1
jodi,707.374,5,2,1
jodi,836.244,5,2,1
jodi,479.909,5,2,1
jodi,764.414,6,2,1
jodi,812.819,5,2,1
jodi,315.585,3,2,1
jodi,259.44,5,2,1
jodi,299.519,4,2,1
jodi,519.584,3,2,1
jodi,591.899,4,2,1
jodi,382.247,2,2,1
jodi,438.87,4,2,1
jodi,485.66,3,2,1
jodi,634.432,2,2,1
jodi,542.302,3,2,1
jodi,563.219,3,2,1
jodi,557.683,2,2,1
jodi,668.947,3,2,1
jodi,480.468,4,2,1
jodi,409.452,4,2,1
jodi,576.115,3,2,1
jodi,790.935,3,2,1
jodi,484.24,4,2,1
jodi,400.428,3,2,1
jodi,579.063,3,2,1
jodi,730.449,3,2,1
jodi,478.311,3,2,1
jodi,629.429,3,2,1
jodi,504.72,5,2,1
jodi,545.576,3,2,1
jodi,664.468,3,2,1
jodi,375.531,3,2,1
jodi,371.98,4,2,1
jodi,209.497,4,2,1
jodi,603.376,3,2,1
jodi,384.795,3,2,1
jodi,645.721,2,2,1
jodi,478.389,3,2,1
jodi,430.503,4,2,1
jodi,435.223,3,2,1
jodi,748.03,3,2,1
jodi,373.236,3,2,1
jodi,383.217,3,2,1
jodi,389.958,2,2,1
jodi,447.286,3,2,1
jodi,755.608,5,2,1
jodi,739.257,3,2,1
jodi,708.185,5,2,1
jodi,742.011,5,2,1
jodi,653.593,3,2,1
jodi,448.843,3,2,1
jodi,665.629,4,2,1
jodi,532.488,3,2,1
jodi,329.707,3,2,1
jodi,481.069,3,2,1
jodi,293.475,5,2,1
jodi,358.387,3,2,1
jodi,740.272,4,2,1
jodi,505.387,3,2,1
jodi,594.697,3,2,1
jodi,362.504,4,2,1
jodi,506.2,4,2,1
jodi,423.832,4,2,1
jodi,612.897,5,2,1
jodi,583.709,4,2,1
jodi,262.139,3,2,1
jodi,642.163,3,2,1
jodi,517.142,3,2,1
jodi,351.586,4,2,1
jodi,810.597,6,2,1
jodi,417.191,6,2,1
jodi,628.894,3,2,1
jodi,514.776,4,2,1
jodi,800.429,4,2,1
jodi,538.187,4,2,1
jodi,321.34,2,2,1
jodi,735.263,4,2,1
jodi,497.121,4,2,1
jodi,365.575,3,2,1
jodi,411.683,4,2,1
jodi,437.693,3,2,1
jodi,717.952,4,2,1
jodi,748.846,4,2,1
jodi,788.248,6,2,1
jodi,432.188,3,2,1
jodi,519.369,4,2,1
jodi,568.969,4,2,1
jodi,419.656,3,2,1
jodi,507.979,4,2,1
jodi,655.893,3,2,1
jodi,432.801,3,2,1
jodi,747.107,4,2,1
jodi,617.204,4,2,1
jodi,660.014,2,2,1
jodi,516.589,4,2,1
jodi,489.455,6,2,1
jodi,706.935,3,2,1
jodi,371.369,4,2,1
jodi,381.065,5,2,1
jodi,417.718,4,2,1
jodi,355.855,4,2,1
jodi,471.393,4,2,1
jodi,352.102,3,2,1
jodi,533.897,4,2,1
jodi,400.308,6,2,1
jodi,626.96,4,2,1
jodi,615.889,2,2,1
jodi,436.732,5,2,1
jodi,305.338,4,2,1
jodi,626.006,4,2,1
jodi,434.81,5,2,1
jodi,285.112,4,2,1
jodi,574.384,4,2,1
jodi,401.586,3,2,1
jodi,461.726,2,2,1
jodi,576.59,3,2,1
jodi,650.289,3,2,1
jodi,625.705,6,2,1
jodi,504.811,4,2,1
jodi,398.422,4,2,1
jodi,476.437,4,2,1
jodi,428.741,4,2,1
jodi,280.951,6,2,1
jodi,352.195,3,2,1
jodi,451.803,4,2,1
jodi,476.4,6,2,1
jodi,783.842,4,2,1
jodi,623.46,6,2,1
jodi,533.522,5,2,1
jodi,446.027,5,2,1
jodi,484.916,5,2,1
jodi,578.637,4,2,1
jodi,577.329,5,2,1
jodi,517.782,5,2,1
jodi,538.468,3,2,1
jodi,666.803,4,2,1
jodi,451.907,4,2,1
jodi,547.763,4,2,1
jodi,476.409,3,2,1
jodi,760.389,4,2,1
jodi,282.374,5,2,1
jodi,742.318,6,2,1
jodi,466.698,5,2,1
jodi,429.973,4,2,1
jodi,521.674,5,2,1
jodi,344.411,4,2,1
jodi,644.323,4,2,1
jodi,354.155,4,2,1
jodi,350.142,4,2,1
jodi,436.533,3,2,1
jodi,579.165,4,2,1
jodi,664.128,4,2,1
jodi,467.574,5,2,1
jodi,432.973,5,2,1
jodi,444.588,3,2,1
jodi,578.274,5,2,1
jodi,631.964,5,2,1
jodi,343.178,4,2,1
jodi,678.065,3,2,1
jodi,297.829,3,2,1
jodi,600.388,4,2,1
jodi,747.523,4,2,1
jodi,413.474,5,2,1
jodi,314.722,5,2,1
jodi,425.864,3,2,1
jodi,692.071,5,2,1
jodi,367.915,4,2,1
jodi,348.412,3,2,1
jodi,750.319,4,2,1
jodi,422.595,5,2,1
jodi,491.674,5,2,1
jodi,401.014,4,2,1
jodi,366.221,4,2,1
jodi,633.966,5,2,1
jodi,572.523,5,2,1
jodi,752.528,4,2,1
jodi,1078.221,4,2,1
jodi,482.869,5,2,1
jodi,195.644,5,2,1
jodi,1114.597,5,2,1
jodi,381.928,4,2,1
jodi,825.29,5,2,1
jodi,446.537,4,2,1
jodi,404.836,3,2,1
jodi,375.692,5,2,1
jodi,528.332,5,2,1
jodi,652.286,5,2,1
jodi,438.335,3,2,1
jodi,389.906,5,2,1
jodi,514.052,4,2,1
jodi,462.142,6,2,1
jodi,606.014,5,2,1
jodi,642.273,5,2,1
jodi,446.753,3,2,1
jodi,505.528,4,2,1
jodi,685.815,5,2,1
jodi,406.595,5,2,1
jodi,421.72,4,2,1
jodi,494.024,5,2,1
jodi,431.453,5,2,1
jodi,552.379,4,2,1
jodi,497.966,5,2,1
jodi,397.863,2,2,1
jodi,447.308,4,2,1
jodi,659.64,5,2,1
jodi,467.757,5,2,1
jodi,930.641,4,2,1
jodi,558.847,2,2,1
jodi,697.794,3,2,1
jodi,356.561,4,2,1
jodi,469.397,3,2,1
jodi,402.049,2,2,1
jodi,461.967,4,2,1
jodi,362.341,5,2,1
jodi,273.653,5,2,1
jodi,527.577,4,2,1
jodi,456.691,4,2,1
jodi,681.85,5,2,1
jodi,627.251,5,2,1
jodi,615.085,5,2,1
jodi,412.469,4,2,1
jodi,406.216,4,2,1
jodi,385.488,4,2,1
jodi,284.39,3,2,1
jodi,353.045,5,2,1
jodi,457.033,3,2,1
jodi,253.771,4,2,1
jodi,544.681,6,2,1
jodi,628.136,5,2,1
jodi,396.159,7,2,1
jodi,398.499,3,2,1
jodi,695.659,4,2,1
jodi,993.19,7,2,1
jodi,633.211,3,2,1
jodi,674.14,4,2,1
jodi,645.179,4,2,1
jodi,266.544,4,2,1
jodi,765.754,5,2,1
jodi,413.911,4,2,1
jodi,357.038,4,2,1
jodi,530.299,5,2,1
jodi,565.693,4,2,1
jodi,394.959,2,2,1
jodi,478.046,4,2,1
jodi,592.733,5,2,1
jodi,708.311,4,2,1
jodi,872.462,5,2,1
jodi,537.027,6,2,1
jodi,660.414,5,2,1
jodi,600.469,4,2,1
jodi,487.227,2,2,1
jodi,861.558,4,2,1
jodi,378.355,4,2,1
jodi,653.952,5,2,1
jodi,400.542,4,2,1
jodi,479.976,4,2,1
jodi,433.316,4,2,1
jodi,388.382,4,2,1
jodi,712.628,4,2,1
jodi,647.102,4,2,1
jodi,268.966,4,2,1
jodi,568.771,4,2,1
jodi,543.111,5,2,1
jodi,666.423,2,2,1
jodi,745.129,4,2,1
jodi,414.235,3,2,1
jodi,596.662,6,2,1
jodi,493.34,5,2,1
jodi,443.685,4,2,1
jodi,780.794,4,2,1
jodi,713.27,4,2,1
jodi,371.504,5,2,1
jodi,880.5,6,2,1
jodi,466.026,5,2,1
jodi,425.715,5,2,1
jodi,526.022,5,2,1
jodi,350.252,4,2,1
jodi,543.368,4,2,1
jodi,481.218,6,2,1
jodi,349.8,3,2,1
jodi,511.175,4,2,1
jodi,635.185,5,2,1
jodi,509.455,4,2,1
jodi,434.228,5,2,1
jodi,469.378,4,2,1
jodi,726.96,4,2,1
jodi,618.552,5,2,1
jodi,1011.027,5,2,1
jodi,374.265,3,2,1
jodi,513.619,4,2,1
jodi,678.79,5,2,1
jodi,798.813,4,2,1
jodi,520.421,5,2,1
jodi,644.217,5,2,1
jodi,546.75,3,2,1
jodi,374.626,5,2,1
jodi,580.371,3,2,1
jodi,634.178,4,2,1
jodi,442.284,6,2,1
jodi,831.257,5,2,1
jodi,535.568,6,2,1
jodi,487.672,3,2,1
jodi,539.152,6,2,1
jodi,525.801,5,2,1
jodi,518.313,4,2,1
jodi,412.709,5,2,1
jodi,438.834,5,2,1
jodi,396.491,4,2,1
jodi,755.358,4,2,1
jodi,422.759,4,2,1
jodi,291.939,5,2,1
jodi,512.108,5,2,1
jodi,555.442,4,2,1
jodi,444.646,5,2,1
jodi,353.021,2,2,1
jodi,730.3,7,2,1
jodi,451.944,5,2,1
jodi,384.018,4,2,1
jodi,462.486,2,2,1
jodi,413.984,3,2,1
jodi,359.494,5,2,1
jodi,651.179,5,2,1
jodi,367.104,3,2,1
jodi,469.196,4,2,1
jodi,419.53,5,2,1
jodi,392.845,4,2,1
jodi,502.94,7,2,1
jodi,481.559,6,2,1
jodi,364.545,3,2,1
jodi,586.486,7,2,1
jodi,444.081,5,2,1
jodi,454.901,7,2,1
jodi,578.457,3,2,1
jodi,302.275,4,2,1
jodi,918.345,6,2,1
jodi,367.439,4,2,1
jodi,617.667,5,2,1
jodi,387.138,2,2,1
jodi,845.007,7,2,1
jodi,530.785,6,2,1
jodi,359.668,7,2,1
jodi,473.022,5,2,1
jodi,463.345,2,2,1
jodi,380.351,7,2,1
jodi,683.698,7,2,1
jodi,750.708,4,2,1
jodi,466.106,4,2,1
jodi,412.116,7,2,1
jodi,599.834,4,2,1
jodi,375.876,2,2,1
jodi,372.886,3,2,1
jodi,712.778,3,2,1
jodi,608.881,5,2,1
jodi,442.454,4,2,1
jodi,832.518,5,2,1
jodi,601.647,4,2,1
jodi,527.9,5,2,1
jodi,469.942,4,2,1
jodi,452.075,4,2,1
jodi,491.533,5,2,1
jodi,423.937,5,2,1
jodi,455.283,4,2,1
jodi,442.757,5,2,1
jodi,691.145,4,2,1
jodi,414.143,5,2,1
jodi,318.903,4,2,1
jodi,299.646,7,2,1
jodi,682.513,6,2,1
jodi,578.571,3,2,1
jodi,617.125,7,2,1
jodi,783.245,5,2,1
jodi,483.847,7,2,1
jodi,466.218,3,2,1
jodi,391.001,4,2,1
jodi,556.121,6,2,1
jodi,673.475,5,2,1
jodi,495.67,6,2,1
jodi,433.532,5,2,1
jodi,720.856,7,2,1
jodi,581.847,6,2,1
jodi,497.599,7,2,1
jodi,348.646,5,2,1
jodi,272.929,4,2,1
jodi,546.192,7,2,1
jodi,833.307,4,2,1
jodi,455.113,4,2,1
jodi,432.638,4,2,1
jodi,390.6,7,2,1
jodi,427.331,4,2,1
jodi,411.961,4,2,1
jodi,433.974,7,2,1
jodi,274.938,4,2,1
jodi,502.029,7,2,1
jodi,362.931,3,2,1
jodi,794.738,3,2,1
jodi,406.645,2,2,1
jodi,647.581,4,2,1
jodi,428.029,4,2,1
jodi,664.311,4,2,1
jodi,465.02,3,2,1
jodi,625.37,3,2,1
jodi,459.866,3,2,1
jodi,493.653,5,2,1
jodi,455.604,3,2,1
jodi,451.884,4,2,1
jodi,419.671,4,2,1
jodi,355.177,4,2,1
jodi,512.082,4,2,1
jodi,421.485,4,2,1
jodi,579.318,4,2,1
jodi,504.898,4,2,1
jodi,292.701,4,2,1
jodi,337.858,3,2,1
jodi,471.931,2,2,1
jodi,538.514,3,2,1
jodi,443.974,3,2,1
jodi,527.368,4,2,1
jodi,420.338,3,2,1
jodi,598.895,4,2,1
jodi,489.402,5,2,1
jodi,677.511,3,2,1
jodi,389.913,5,2,1
jodi,607.175,3,2,1
jodi,479.343,6,2,1
jodi,708.709,3,2,1
jodi,378.934,3,2,1
jodi,363.748,4,2,1
jodi,593.532,4,2,1
jodi,436.657,4,2,1
jodi,424.323,4,2,1
jodi,709.986,5,2,1
jodi,491.729,3,2,1
jodi,498.076,3,2,1
jodi,364.289,6,2,1
jodi,360.554,3,2,1
jodi,566.546,5,2,1
jodi,254.389,3,2,1
jodi,529.729,4,2,1
jodi,358.251,4,2,1
jodi,346.014,4,2,1
jodi,544.446,4,2,1
jodi,378.792,4,2,1
jodi,420.33,4,2,1
jodi,440.012,4,2,1
jodi,774.576,4,2,1
jodi,430.982,3,2,1
jodi,566.692,3,2,1
jodi,471.082,3,2,1
jodi,407.216,4,2,1
jodi,368.232,3,2,1
jodi,536.107,4,2,1
jodi,659.102,5,2,1
jodi,418.55,3,2,1
jodi,337.261,6,2,1
jodi,380.195,4,2,1
jodi,473.044,4,2,1
jodi,374.134,7,2,1
jodi,439.938,6,2,1
jodi,627.378,2,2,1
jodi,663.548,3,2,1
jodi,448.323,3,2,1
jodi,357.899,3,2,1
jodi,528.8,4,2,1
jodi,493.328,4,2,1
jodi,477.196,4,2,1
jodi,355.153,5,2,1
jodi,351.895,6,2,1
jodi,376.246,5,2,1
jodi,388.325,5,2,1
jodi,412.594,7,2,1
jodi,564.821,5,2,1
jodi,561.548,6,2,1
jodi,435.86,8,2,1
jodi,310.188,4,2,1
jodi,394.928,5,2,1
jodi,428.324,4,2,1
jodi,344.665,4,2,1
jodi,337.387,5,2,1
jodi,280.835,7,2,1
jodi,406.006,4,2,1
jodi,398.371,5,2,1
jodi,470.648,6,2,1
jodi,624.11,6,2,1
jodi,567.904,6,2,1
jodi,424.91,4,2,1
jodi,464.738,4,2,1
jodi,342.488,4,2,1
jodi,355.792,5,2,1
jodi,347.131,6,2,1
jodi,420.639,3,2,1
jodi,357.278,4,2,1
jodi,472.499,7,2,1
jodi,411.974,6,2,1
jodi,285.892,3,2,1
jodi,403.38,3,2,1
jodi,589.311,5,2,1
jodi,399.395,5,2,1
jodi,327.493,3,2,1
jodi,298.904,4,2,1
jodi,392.036,5,2,1
jodi,487.441,5,2,1
jodi,272.296,5,2,1
jodi,640.593,5,2,1
jodi,350.522,5,2,1
jodi,392.939,5,2,1
jodi,269.942,3,2,1
jodi,472.079,5,2,1
jodi,621.936,4,2,1
jodi,398.004,6,2,1
jodi,382.269,5,2,1
jodi,422.473,3,2,1
jodi,386.813,4,2,1
jodi,405.92,6,2,1
jodi,392.087,5,2,1
jodi,493.049,5,2,1
jodi,321.518,4,2,1
jodi,308.491,5,2,1
jodi,349.42,3,2,1
jodi,647.84,2,2,1
jodi,297.267,3,2,1
jodi,389.081,2,2,1
jodi,357.819,4,2,1
jodi,811.934,5,2,1
jodi,348.703,6,2,1
jodi,366.363,3,2,1
jodi,332.261,8,2,1
jodi,480.288,6,2,1
jodi,508.283,5,2,1
jodi,425.833,3,2,1
jodi,346.019,2,2,1
jodi,354.686,6,2,1
jodi,522.239,4,2,1
jodi,370.612,2,2,1
jodi,403.807,3,2,1
jodi,305.455,5,2,1
jodi,467.793,3,2,1
jodi,436.082,5,2,1
jodi,397.165,8,2,1
jodi,615.081,7,2,1
jodi,269.264,4,2,1
jodi,303.372,8,2,1
jodi,385.788,6,2,1
jodi,583.522,4,2,1
jodi,406.209,8,2,1
jodi,476.364,4,2,1
jodi,356.316,5,2,1
